Product Name,Price (€),Pack Size (g),Serving Size (servings),Energy (kcal),Fat (g),Saturates (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
Crispy Pancakes Beef & Onion,2.57,266,4,274,15g,2.0g,26g,3.0g,1.1g,8.2g,0.72g
Fish Seasoning,0.88,55,4,253,3.0g, ,46.5g,24.8g,2.5g,6.0g,22.01g
Hearty Food Co Mac 'N' Cheese,0.76,400,1,121,2.7g,1.5g,19.3g,1.0g,1.1g,4.4g,0.62g
Dijon Mustard,2.34,185,37,128,9.2g,0.7g,3.7g,2.3g,2.7g,6.2g,6.2g
Limited Edition Milk Shake Mix Lime Flavoured,2.34,500,10,6,0.5g,0g,0.4g,0.2g,0.0g,0g,0.10g
Onion Gravy Granules,1.52,190,57,396,15.4g,10.9g,59.3g,16.9g,3.2g,3.2g,11.58g
Wholemeal Seeds And Grains Bread,7.02,800,18,254,5.0g,0.9g,37.4g,2.7g,6.4g,11.7g,0.98g
Low Calorie Sweetener Granulated,4.1,125,50,2,0g,0g,0.5g,0g,0g,0g,0g
Gastro Cod Parmesan Parsley 2 F/Cakes,1.17,270,2,180,7.0g,1.5g,18.7g,1.4g,1.0g,9.9g,0.7g
Balti Sauce,1.87,500,4,49,1.3g,0.2g,8.1g,4.2g,0.9g,0.8g,0.78g
Cheddar & Crack Black Pepper Thins,3.45,125,17,436,9.7g,5.8g,64.2g,2.1g,7.1g,18.6g,1.38g
Lemon Slice,4.1,85,6,399,15.0g,3.2g,62.6g,41.7g,0.6g,2.6g,0.54g
British Pork Crumbed Ham,4.62,125,6,112,2.0g,0.7g,2.1g,1.0g,0.1g,21.2g,1.51g
Chilli Crackers, ,65,4,554,35.4g,3.4g),53.4g,15.1g),0.7g,4.6g,2.5g
Crispy Nuggets,1.52,476,5,190,8.3g,0.8g,17g,1.9g,4.5g,9.4g,1.2g
Marron Chestnuts,2.63,400,13,187,2.7g,0.5g,36.6g,7.0g,4.1g,2.0g,0.03g
5Mm Rice Sticks,4.68,400,4,304,0.5g,0g,72g,0g,0.9g,3g,0.03g
Uht Skimmed Milk,2.34,1000,5,33,0.1g,0g,4.5g,4.5g,0.0g,3.5g,0.11g
Original Soft Cheese,5.27,280,9,223,21 g,14 g,4.3 g,4.3 g,0.2 g,5.4 g,0.75 g
Peanut Butter Swirl Sticks,2.93,300,3,169,"9,0g","2,4g",17g,14g,0.5g,"6,8g","0,31g"
Tuna Chunks In Sunflower Oil,2.93,102,2,159,6.4g,0.8g,0g,0g,0g,25.4g,0.92g
Vegetable Suet,14.04,200,6,744,70.0g,38.8g,26.7g,0.1g,0.5g,1.6g,<0.01g
Sweet And Sour Chicken,1.4,400,2,149,6.0g,0.9g,16.8g,11.1g,0.5g,6.7g,0.45g
Punjabi Chickpea Masala,7.02,400,2,108,4.6g,0.4g,10g,3g,4.4g,4.1g,1g
Lively Lemon Flapjack,26.33,159,1,425,21 g,3.7 g,45 g,12 g,16 g,6.2 g,0.20 g
Battered Haddock Goujons,4.1,200,2,300,16.3g,1.2g,25.3g,0.4g,1.4g,12.3g,0.9g
2 Beef Medallion Steaks,11.7,340,2,110,2.3g,1.1g,0g,0g,0g,22.4g,0.3g
Rainbow Cupcakes,0.88,360,4,471,19g,4.2g,58g,40g,0.6g,2.8g,0.16g
Extra Cool Breeze,3.69,84,6,156,0g,0g,65g,0g,0.0g,0g,0g
Jurassic World Dinosaur Celebration Cake,5.5,800,16,401,13g,3.1g,67g,48g,0.8g,2.4g,0.38g
Duck Fillets,22.23,250,2,174,8.4g,2.4g,<0.5g,<0.5g,0.6g,24g,0.31g
Plants & Rice Beetroot Risotto,2.46,280,2,131,1.9g,0.3g,25.3g,2.1g,0.7g,2.4g,0.78g
Milk Chocolate Ices,3.22,420,6,283,18.5g,16.8g,25.6g,17.3g,0.5g,3.2g,<0.01g
12 Christmas Cupcake Platter,21.06,480,12,453,23.5g,6.9g,54.6g,40.1g,2.2g,4.6g,0.17g
Raspberry Peelers,13.44,80,4,324,1.0g,0.3g,70g,58g,7.5g,1.5g,0.25g
Best Strawberry Seedless Jam,0.76,340,22,221,<0.5g,0g,54g,48g,0.5g,<0.5g,0.07g
Easy Cook Brown Rice,4.68,2000,26,175,1.5g,0.3g,35.3g,0.1g,2.3g,4.0g,<0.01g
Mayonnaise,1.64,450,30,258,23.5g,1.8g,11.1g,3.0g,0.2g,0.3g,1.1g
Baking Spread,0.94,500,50,632,70.2g,18.1g,<0.1g,<0.1g,0g,<0.1g,1.08g
Spanish Serrano Ham,8.78,80,5,250,13.7g,4.9g,0.9g,0.9g,1.0g,30.1g,4.58g
Dairy Free Salted Caramel,7.61,180,6,271,15g,12g,31g,27g,3.0g,2.2g,0.36g
Passion Fruit Juice Drink,7.02,1000,5,21,<0.5g,<0.1g,4.5g,4.4g,0.2g,<0.5g,0.02g
Dairy Milk Chunk Pouch,1.81,350,15,533,30 g,18 g,57 g,56 g,2.1 g,7.4 g,0.24 g
Intense Strawberry Jam,1.93,335,22,162,0.1 g,0 g,39 g,39 g,1.6 g,0.5 g,0 g
Milk Shake Salted Caramel Dairy Free Drink,1.52,330,2,61,3.4g,0.5g,5.6g,4.4g,0.1g,2.0g,0.33g
Beef Lasagne,2.57,400,1,353,10g,4.2g,38g,12g,7.4g,24g,1.6g
Smarties,3.51,105,5,470,18.8g,11.4g,68.0g,62.8g,1.8g,6.3g,0.12g
Pork Belly Slices,2.09,500,2,306,26.8g,12.4g,0.1g,0.1g,0.3g,15.9g,0.30g
Double Shot Expresso,1.46,200,1,73,2.6g,1.7g,9.1g,8.6g,0.0g,2.8g,0.10g
Tango Orange,3.51,1980,6,19,0g,0g,4.3g,4.3g,0.0g,0g,0.06g
Water Black Cherry Raspberry,2.46,1500,6,2,0g,0g,<0.5g,<0.5g,0.0g,0g,0.02g
Crushed Black Pepper Block,6.14,150,5,325,25.1g,23.4g,23.9g,0.8g,0.4g,0.6g,1.25g
Tikka Masala Paste,5.85,200,8,220,16.9g,1.7g,14g,6.2g,4.8g,2.5g,5.4g
Corona Extra,14.04,3960,12,42,0g,0g,4.0g,0.2g,0.0g,0.3g,0g
Tomato And Basil Soup,2.81,400,2,41,1.0g,<0.1g,6.7g,4.8g,0.4g,1.0g,0.46g
Cheese Crackers,1.17,200,6,494,24 g,11 g,58 g,3.1 g,2.4 g,9.2 g,1.4 g
Free From Salad Cream,2.16,440,29,205,15.0g,1.2g,16.6g,12.4g,0.3g,0.7g,1.11g
Gluten Free Soft White Farmhouse,3.51,535,15,254,5.2g,0.4g,51g,3.9g,8.5g,1.8g,1.5g
Roast Chicken Pasta,2.93,55,1,86,0.8g,0.5g,16.7g,1.5g,0.9g,2.7g,0.49g
Smooth Peanut Butter,70.2,1000,20,590,46,8.2,12,5.9,8.5,30,0
Eccles Cakes,7.47,240,4,401,17.6g,9.3g,55.8g,41.6g,1.2g,3.9g,0.40g
Ground Black Pepper,3.04,50,20,304,3.3g,1.0g,44.3g,0.6g,26.5g,10.9g,0.10g
Rich Beef Stock Pot,3.51,112,4,90,3.1 g,1.5 g,10 g,2.2 g,0.9 g,4.9 g,14.5 g
Activ-Go Cocoa Malt Beverage,3.45,240,1,63,1.5g,0.8g,10.0g,6.9g,0.5g,2.0g,0.09g
Falafel,3.51,200,4,221,9.9g,1.0g,20g,3.8g,11g,7.6g,1.3g
Hot Smoked Mackerel Fillets,6.14,70,1,367,31.2g,6.2g,0.2g,0.1g,0.1g,21.2g,1.80g
Thai Inspired Salad Kit,16.38,280,2,469,8.3g,0.7g,6.9g,4.9g,1.7g,1.9g,0.45g
Udon Japanese Style Noodles,2.05,400,2,137,0.6g,0g,28.1g,0g,1.5g,4.4g,0.3g
Authentic Mix Somerset Pork,0.82,36,4,347,2.6g,1.1g,70.0g,18.8g,4.6g,7.6g,6.52g
Bitsa Wispa Bag,2.22,110,4,547,34 g,21 g,52.5 g,52.5 g,1.0 g,7.3 g,0.23 g
Peanut Delight Fruit & Peanut Bars,3.51,140,5,424,21.5g,3.9g,41.7g,38.8g,5.0g,13.6g,0.60g
Vegan Harissa Pesto,1.46,165,4,333,30.3g,3.9g,10.8g,7.1g,4.2g,2.2g,3.8g
Protein Salad Topper Garlic & Herb,11.7,150,5,496,30g,4.1g,24g,2.1g,15g,25g,0.75g
Gooey Brownie Ice Cream,4.86,473,4,130,"3,7g","2,2g",22g,11g,0.8g,"4,6g","0,57g"
Cup Noodles Katsu Curry,11.7,73,1,91,3.6 g,1.8 g,11.7 g,1.6 g,0.8g,2.4 g,0.91 g
12 Filled Mini Churros,0.76,210,12,328,13.5g,1.6g,44.7g,13.3g,2.4g,5.6g,0.41g
Red Bull Energy Drink,8.6,473,1,46,0 g,0 g,11 g,11 g,0.0g,0 g,0.1 g
Festive Friends Chocolate Biscuits,3.73,150,9,508,23 g,12 g,66 g,29 g,2.2 g,7.7 g,0.71 g
