Product Name,Price (€),Pack Size (g),Serving Size (servings),Energy (kcal),Fat (g),Saturates (g),Carbohydrates (g),Sugars (g),Fibre (g),Protein (g),Salt (g)
Crispy Pancakes Beef & Onion,2.57,266,4,274,15g,2.0g,26g,3.0g,1.1g,8.2g,0.72g
Hearty Food Co Mac 'N' Cheese,0.76,400,1,121,2.7g,1.5g,19.3g,1.0g,1.1g,4.4g,0.62g
Dijon Mustard,2.34,185,37,128,9.2g,0.7g,3.7g,2.3g,2.7g,6.2g,6.2g
Wholemeal Seeds And Grains Bread,2.50,800,18,254,5.0g,0.9g,37.4g,2.7g,6.4g,11.7g,0.98g
Gastro Cod Parmesan Parsley 2 F/Cakes,1.17,270,2,180,7.0g,1.5g,18.7g,1.4g,1.0g,9.9g,0.7g
Cheddar & Crack Black Pepper Thins,3.45,125,17,436,9.7g,5.8g,64.2g,2.1g,7.1g,18.6g,1.38g
Crispy Nuggets,1.52,476,5,190,8.3g,0.8g,17g,1.9g,4.5g,9.4g,1.2g
Uht Skimmed Milk,2.34,1000,5,33,0.1g,0g,4.5g,4.5g,0.0g,3.5g,0.11g
Original Soft Cheese,5.27,280,9,223,21 g,14 g,4.3 g,4.3 g,0.2 g,5.4 g,0.75 g
Peanut Butter Swirl Sticks,2.93,300,3,169,"9,0g","2,4g",17g,14g,0.5g,"6,8g","0,31g"
Tuna Chunks In Sunflower Oil,2.93,102,2,159,6.4g,0.8g,0g,0g,0g,25.4g,0.92g
Battered Haddock Goujons,4.1,200,2,300,16.3g,1.2g,25.3g,0.4g,1.4g,12.3g,0.9g
2 Beef Medallion Steaks,6.50,340,2,110,2.3g,1.1g,0g,0g,0g,22.4g,0.3g
Easy Cook Brown Rice,2.00,2000,26,175,1.5g,0.3g,35.3g,0.1g,2.3g,4.0g,<0.01g
Beef Lasagne,2.57,400,1,353,10g,4.2g,38g,12g,7.4g,24g,1.6g
Pork Belly Slices,2.09,500,2,306,26.8g,12.4g,0.1g,0.1g,0.3g,15.9g,0.30g
Tomato And Basil Soup,2.81,400,2,41,1.0g,<0.1g,6.7g,4.8g,0.4g,1.0g,0.46g
Cheese Crackers,1.17,200,6,494,24 g,11 g,58 g,3.1 g,2.4 g,9.2 g,1.4 g
Gluten Free Soft White Farmhouse,3.51,535,15,254,5.2g,0.4g,51g,3.9g,8.5g,1.8g,1.5g
Falafel,3.51,200,4,221,9.9g,1.0g,20g,3.8g,11g,7.6g,1.3g
Hot Smoked Mackerel Fillets,6.14,70,1,367,31.2g,6.2g,0.2g,0.1g,0.1g,21.2g,1.80g
Udon Japanese Style Noodles,2.05,400,2,137,0.6g,0g,28.1g,0g,1.5g,4.4g,0.3g
Brown Medium Free Range Eggs,2.50,660,6,131,9.0g,2.5g,0.0g,0.0g,0.0g,12.6g,0.39g
Pork Loin Steaks,4.50,720,5,225,16.1g,5.9g,0g,0g,0g,19.9g,0.30g
Mature Cheddar,3.50,550,18,416,34.9g,21.7g,0.1g,0.1g,0.0g,25.4g,1.8g
Breaded Meat Free Goujons,1.17,190,2,272,12.5g,1.5g,22.7g,0.8g,2.6g,15.8g,0.88g
Fire Pit 2 Quarter Pounder Halloumi Burgers,2.34,228,2,327,24.5g,15.6g,2.7g,1.9g,0.1g,23.9g,3.00g
Original Orange With Juicy Bits,3.16,900,6,41,0g,0g,9.3g,8.4g,0.8g,0.8g,0g
Oranges,1.87,500,4,41,0.2g,0g,8.2g,8.2g,1.7g,0.8g,<0.01g
100% Almond Butter Smooth,4.50,470,16,642,56,4.4,6.5,4,12,25,0
Taco Stand ‚ÄòN‚Äô Stuff Paprika & Garlic Kit,1.4,312,10,301,14.4 g,1.3 g,37.1 g,2.8 g,3.5 g,3.9 g,1.88 g
Strawberry Low Fat Yogurt,1.05,450,4,64,0.9g,0.6g,11.3g,9.1g,0.4g,2.5g,0.06g
Sea Salt & Black Pepper Cracker,1.52,185,16,472,21g,6.0g,59g,3.3g,2.7g,9.6g,0.72g
Very Low Fat Natural Yogurt,3.16,1000,8,42,0.2g,0.11g,6.4g,3.0g,<0.5g,3.63g,0.14g
Crusty White Farmhouse Loaf Sliced,2.63,800,16,257,1.3g,0.3g,50.5g,2.7g,2.0g,9.8g,0.74g
Kielbasa Podsuszana,2.34,260,4,313,23 g,"9,2 g","2,0 g","1,0 g",0.0g,25 g,"2,5 g"
Unsmoked Drycure Back Bacon,2.05,240,4,260,19.7g,6.9g,1.1g,0.3g,0.6g,19.2g,2.4g
4 Smoked Bacon & Vintage Cheddar Rolls,3.51,188,4,377,25.8g,14.0g,25.1g,1.9g,1.3g,10.4g,1.03g
Persimmons,1.51,400,2,81,<0.1g,0g,18.6g,18.6g,1.6g,0.8g,0.01g
Reduced Fat 3 Houmous Stacker,5.85,180,3,168,9.2g,1.0g,12.7g,0.6g,4.7g,6.2g,0.86g
Weetabix,2.50,430,12,366,2.0g,0.6g,69g,4.2g,10g,12g,0.28g
Cooked& Peeled King Prawns,1.13,150,2,47,0.2g,<0.1g,0.0g,0.0g,0.0g,11.4g,1.4g
Thai Hom Mali Aaa Jasmine Fragrant Rice,4.50,5000,66,136,1.0g,0.1g,29.1g,0.1g,0.5g,2.5g,<0.01g
Extra Hot Cheddar,2.30,170,6,360,28.0g,17.2g),2.5g,1.3g),0.0g,20.8g,1.8g
Creamy Oat Porridge,1.50,240,12,426,10.2g,4.5g,64.4g,30.2g,3.1g,16.8g,0.35g
Sweetcorn Cobettes,1.29,300,3,120,2.3g,0.3g,19.6g,2.3g,2.2g,4.2g,<0.01g
Plant-Based Kebab Doner Style,3.5,280,2,256,20 g,1.4 g,9.2 g,0.6 g,4.5 g,9.8 g,1.9 g
Whole Chestnuts,2.4,180,3,176,1.6g,0.3g,33g,9.1g,5.9g,4.1g,<0.01g
Organic Raspberries,2.5,150,1,32,0.3g,0.1g,4.6g,4.6g,2.5g,1.4g,<0.01g
Mango & Passion Fruit Mousse,1,100,1,231,15.7g,10.3g,18.4g,15.8g,0.4g,3.7g,0.08g
Large Stir Fry,1.19,570,4,55,2.5g,0.2g,4.7g,3.5g,2.2g,2.2g,0.14g
